technology_mode,year,published,pollutant,value_kg,unit,index_2019_100,ratio_to_2019,signal,signal_interpretation,accounting_method
frozen,2021,1,H2SO4,23087483.1833489,kg,100.40549837204978,1.0040549837204977,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,HF,3298744.2048587753,kg,100.16098464139893,1.0016098464139893,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,DIOX,1.8285867105035492,kg,97.93851762505932,0.9793851762505932,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,PFAS,908.293506653811,kg,76.31630754188993,0.7631630754188993,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,CHL_SOLV,,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,PB,240973866.78653476,kg,91.67942532051225,0.9167942532051225,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,HG,1107587.3250816758,kg,91.81438429187611,0.918143842918761,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,AS,53184604.529635094,kg,91.64495005645985,0.9164495005645985,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,CD,56603.074682123435,kg,96.85759908555507,0.9685759908555507,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2021,1,CR,770930.0653766834,kg,99.15639771226515,0.9915639771226514,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
